sno,state,type,city,address,search_hit,match_source,top_result_title,top_result_link
1426,Punjab,Dispensary,Jalandhar,"JALANDHAR - DISP. NO. V Medical Officer Incharge, ESI Dispensary, H.No 829/L, Near Heer Hospital, Street No. 1, Avtar Nagar, Makksuda Rd, Jalandhar",False,,,
1427,Punjab,Dispensary,Batala,"Medical Officer Incharge, ESI Dispensary, GT Jalandhar Road near civil Hospital, Umarpura, Batala",False,,,
1428,Punjab,Dispensary,Goraya,"ESI Dispensary, Jalandar, Goraya",False,,,
1429,Punjab,Dispensary,Phagwara,"PHAGWARA - DISP. NO. I Medical Officer Incharge, ESI Dispensary, Opp. JCT Mill, Phagwara",False,,,
1430,Punjab,Dispensary,Ludhiana,"LUDHIANA - DISP. NO. X Medical Officer Incharge, ESI Dispensary, B.No.10, Garmukh Singh & Sons, Ludhiana",False,,,
1431,Punjab,Dispensary,Ludhiana,"LUDHIANA - DISP. NO. II Medical Officer Incharge, ESI Dispensary, C/o ESI Hospital, Ludhiana",False,,,
1432,Punjab,Dispensary,Ludhiana,"LUDHIANA - DISP. NO. IV Medical Officer Incharge, ESI Dispensary, C/o ESI Hospital, Ldh.",False,,,
1433,Punjab,Dispensary,Barnala,"ESIC Model Dispensary, Sanjeevni Complex, Raikot road, Barnala",False,,,
1434,Punjab,Dispensary,Bhatinda,"DISP. NO. I Medical Officer Incharge, Urban Healthcare Centre, Beant Nagar, Dhabiana Basti, Power House Road, Bathinda, Punjab-151001",False,,,
1435,Punjab,Dispensary,Bhatinda,"DISP. NO. II Medical Officer Incharge, ESI Dispensary, Guru Nanak Thermal Plant, Bhatinda",False,,,
1436,Punjab,Dispensary,Bhatinda,"Medical Officer Incharge, ESI Dispensary, H/o Guru Hargobind Super Thermal Power Plant Campus, 400 mtr far from the old address, Lehra Mohabbat, Distt. Bathinda, Punjab 151111",False,,,
1437,Punjab,Dispensary,Mandi Gobindgarh,"MANDI GOBINDGARH - DISP. NO. II Medical Officer Incharge, ESI Dispensary, Dadheri Road, Mandi Gobindgarh, Punjab-147301",False,,,
1438,Punjab,Dispensary,Kharar,"KHARAR - Medical Officer Incharge, ESI Dispensary, Kharar",False,,,
1439,Punjab,Dispensary,Lalru,"Medical Officer Incharge, ESI Dispensary, ITI Chowk, Near Civil Hospital, Lalru, Distt. Mohali, Punjab-140501",False,,,
1440,Punjab,Dispensary,Patiala,"Medical Officer Incharge, ESI Dispensary, House No. 40, Mata Kaushlya Govt Hospital, Near Bus Stand, Distt. Patiala, Punjab 147001",False,,,
1441,Punjab,Dispensary,Dera Bassi,"Medical Officer Incharge, ESI Dispensary, Dera Bassi, Distt. Patiala",False,,,
1442,Punjab,Dispensary,Lalru,"ESI Dispensary No.2 at Lalru (P/T Unit) Nahar Factory, Lalru Pin Code-140501",False,,,
1443,Punjab,Dispensary,Patiala,"Medical Officer Incharge ESIC DS, In basement of New OPD Mata kaushalya Govt HS Back side of bus stand patiala punjab-147001",False,,,
1444,Punjab,Dispensary,Ahmedgarh,"Medical Officer Incharge, ESI Dispensary, Civil Hospital, Ahmedgarh (Sangrur)",False,,,
1445,Punjab,Dispensary,Nawanshahar,"ESI DISPENSARY RAHON TAUNSA (opposite government elementary school, near Suvidha centre) distt SBS Nagar Punjab",False,,,
1446,Punjab,Dispensary,Nawanshahar,"Medical Officer Incharge, ESI Dispensary, Civil Hospital, Ropar",False,,,
1447,Punjab,Dispensary,Sangrur,"Medical Officer Incharge, ESI Dispensary, Rural Hospital, Kup Kalan, Sangrur",False,,,
1448,Punjab,Dispensary,Sangrur,"Medical Officer Incharge, ESI Dispensary, Civil Hospital, Sangrur",True,ropunjab.esic.gov.in,Dispensary Cum Branch Office | Employee's State Insurance ... - ESIC,https://ropunjab.esic.gov.in/dispensaries/rosro_index/page:2
1449,Punjab,Dispensary,Sirhind,"Medical Officer Incharge, ESI Dispensary, Dehla mohalla, Sirhind",False,,,
1450,Punjab,Dispensary,Khanna,"ESI Dispensary, Khanna",False,,,
1451,Punjab,Dispensary,Nabha,"ESI Dispensary, Nabha",False,,,
1452,Punjab,Dispensary,Ropar,"Medical Officer Incharge ESI Dispensary, Nuhon , Ropar Thermal Power Station, Near Ropar",False,,,
1453,Punjab,Dispensary,Dhariwal,"Medical Officer Incharge, ESI Dispensary, Dhariwal, Near Bebe Nanki School Villers, Gurdaspur",False,,,
1454,Punjab,Dispensary,Hoshiarpur,"Medical Officer Incharge, ESI Dispensary, C/Mahal, Distt. Hoshiarpur",False,,,
1455,Punjab,Dispensary,Hoshiarpur,"ESIC Dispensary Dagwall Road, Nasrala, Hoshiarpur-146022",False,,,
1456,Punjab,Dispensary,Kapurthala,"KAPURTHALA - Medical Officer Incharge, ESI Dispensary, Kapurthala",False,,,
1457,Punjab,Dispensary,Phagwara,New Building ESIC Disp NO. 2 PHAGWARA Punjab,False,,,
1458,Punjab,Dispensary,Jalandhar,"DISP. NO. 3 Medical Officer Incharge, ESI Dispensary Hospital Complex, Sahid Udham Singh Nagar, Jallandhar",False,,,
1459,Punjab,Dispensary,Phillaur,"ESI Dispensary, Phillaur, Jalandhar",False,,,
